OBJECTID,STATION_KEY,DECIMAL_LAT,DECIMAL_LONG,HUC12,HUC10,HUC8,HUC6,HUType
3905,34173,45.709000000000003,-121.556500000000000,170701051106,1707010511,17070105,170701,S
3906,34172,45.684600000000003,-122.768700000000000,170800030104,1708000301,17080003,170800,F
3907,34171,45.741199999999999,-122.756300000000000,170800030104,1708000301,17080003,170800,F
3908,34170,45.730899999999998,-122.758100000000000,170800030200,1708000302,17080003,170800,W
3909,34169,45.665399999999998,-122.758100000000000,170800030104,1708000301,17080003,170800,F
3910,34168,46.045999999999999,-123.134700000000000,170800030504,1708000305,17080003,170800,S
3911,34167,46.035499999999999,-123.042500000000000,170800030503,1708000305,17080003,170800,S
3912,34166,46.050100000000000,-122.989999999999990,170800030405,1708000304,17080003,170800,S
3913,34165,46.107500000000002,-123.206417000000000,170800030505,1708000305,17080003,170800,S
3914,34164,45.617300000000000,-122.673700000000000,170800030200,1708000302,17080003,170800,W
3915,34163,45.674500000000002,-121.235100000000000,170701050406,1707010504,17070105,170701,S
3916,34162,45.612400000000001,-122.690900000000000,170800030200,1708000302,17080003,170800,W
3917,34161,45.717199999999998,-121.525800000000000,170701051106,1707010511,17070105,170701,S
3918,34160,45.828888999999997,-119.263306000000000,170701031305,1707010313,17070103,170701,S
3919,34159,46.084699999999998,-123.219399999999990,170800030505,1708000305,17080003,170800,S
3920,34158,46.135700000000000,-123.376499999999990,170800030801,1708000308,17080003,170800,F
3921,34157,46.087567000000000,-122.938750000000000,170800030404,1708000304,17080003,170800,F
3922,34156,46.116599999999998,-123.269499999999990,170800030801,1708000308,17080003,170800,F
3923,34155,46.119799999999998,-123.259600000000010,170800030801,1708000308,17080003,170800,F
3924,34154,46.127167000000000,-123.242166999999990,170800030801,1708000308,17080003,170800,F
3925,34153,46.089500000000001,-123.165600000000000,170800030505,1708000305,17080003,170800,S
3926,34152,46.076999999999998,-123.164167000000010,170800030504,1708000305,17080003,170800,S
3927,34151,46.106499999999997,-123.110800000000000,170800030406,1708000304,17080003,170800,S
3928,34150,42.798499999999997,-123.233000000000000,171003020701,1710030207,17100302,171003,S
3929,34149,42.774600000000000,-123.315600000000000,171003020703,1710030207,17100302,171003,S
3930,34148,42.740099999999998,-123.416799999999990,171003020703,1710030207,17100302,171003,S
3931,34147,42.763500000000001,-123.332600000000000,171003020703,1710030207,17100302,171003,S
3932,34146,42.769900000000000,-123.389100000000000,171003020704,1710030207,17100302,171003,S
3933,34145,42.740499999999997,-123.419000000000000,171003020704,1710030207,17100302,171003,S
3934,34144,42.759000000000000,-123.403499999999990,171003020704,1710030207,17100302,171003,S
3935,34143,43.240800000000000,-123.364999999999990,171003021305,1710030213,17100302,171003,S
3936,34142,42.738799999999998,-123.431800000000000,171003020705,1710030207,17100302,171003,S
3937,34141,42.779299999999999,-123.274800000000000,171003020702,1710030207,17100302,171003,S
3938,34140,43.281799999999997,-123.356100000000000,171003011105,1710030111,17100301,171003,S
3939,34139,43.238700000000001,-123.363000000000000,171003021305,1710030213,17100302,171003,S
3940,34138,43.365900000000003,-123.502200000000000,171003030201,1710030302,17100303,171003,S
3941,34137,42.737099999999998,-123.408500000000000,171003020703,1710030207,17100302,171003,S
3942,34136,42.747700000000002,-123.456300000000000,171003020705,1710030207,17100302,171003,S
3943,34135,43.295400000000001,-123.446500000000000,171003030201,1710030302,17100303,171003,S
